time,open,high,low,close,volume,spread
2026-06-27 00:00:00,60011.08984375,60032.3515625,59976.0,60016.0,100,15.0
2026-06-27 00:05:00,60015.7890625,60045.671875,60009.66015625,60044.0,100,15.0
2026-06-27 00:10:00,60044.0,60107.5703125,60012.71875,60026.6484375,100,15.0
2026-06-27 00:15:00,60026.6484375,60037.19140625,59982.0,59990.0,100,15.0
2026-06-27 00:20:00,59993.4296875,59993.44140625,59939.33984375,59954.69140625,100,15.0
2026-06-27 00:25:00,59957.640625,59965.76953125,59943.859375,59954.51953125,100,15.0
2026-06-27 00:30:00,59954.0,59954.0,59790.01171875,59811.98828125,100,15.0
2026-06-27 00:35:00,59824.69140625,59884.19140625,59815.26171875,59884.19140625,100,15.0
2026-06-27 00:40:00,59886.33984375,59917.8515625,59844.421875,59888.30859375,100,15.0
2026-06-27 00:45:00,59879.0,59960.69140625,59859.44140625,59960.69140625,100,15.0
2026-06-27 00:50:00,59950.0,59978.2890625,59942.3515625,59963.828125,100,15.0
2026-06-27 00:55:00,59972.890625,59975.5,59950.19921875,59974.7109375,100,15.0
2026-06-27 01:00:00,59974.69921875,59985.30078125,59881.1484375,59881.1484375,100,15.0
2026-06-27 01:05:00,59878.078125,59895.98828125,59871.890625,59871.9296875,100,15.0
2026-06-27 01:10:00,59869.98828125,59902.55078125,59865.8515625,59869.19921875,100,15.0
2026-06-27 01:15:00,59867.05078125,59896.0,59853.2890625,59895.671875,100,15.0
2026-06-27 01:20:00,59895.6796875,59895.6796875,59869.21875,59895.671875,100,15.0
2026-06-27 01:25:00,59895.6796875,59906.08984375,59878.078125,59906.08984375,100,15.0
2026-06-27 01:30:00,59887.26171875,59891.16015625,59837.7109375,59891.16015625,100,15.0
2026-06-27 01:35:00,59891.1484375,59899.48828125,59853.53125,59891.08984375,100,15.0
2026-06-27 01:40:00,59877.55859375,59895.6796875,59870.0,59874.01953125,100,15.0
2026-06-27 01:45:00,59878.71875,59899.98828125,59861.8984375,59861.8984375,100,15.0
2026-06-27 01:50:00,59871.9609375,59897.921875,59851.578125,59859.94140625,100,15.0
2026-06-27 01:55:00,59859.9296875,59878.0703125,59841.96875,59854.171875,100,15.0
2026-06-27 02:00:00,59847.91015625,59892.0,59826.5390625,59891.98828125,100,15.0
2026-06-27 02:05:00,59881.98046875,59943.1484375,59872.921875,59943.1484375,100,15.0
2026-06-27 02:10:00,59940.6484375,60024.94921875,59920.01171875,60017.6015625,100,15.0
2026-06-27 02:15:00,60020.1484375,60083.62109375,59988.83984375,60055.55078125,100,15.0
2026-06-27 02:20:00,60055.55078125,60220.94140625,60055.55078125,60204.9609375,100,15.0
2026-06-27 02:25:00,60204.96875,60279.41015625,60171.83984375,60201.98828125,100,15.0
2026-06-27 02:30:00,60167.55859375,60227.96875,60101.96875,60227.96875,100,15.0
2026-06-27 02:35:00,60217.37890625,60217.37890625,60141.1015625,60200.8984375,100,15.0
2026-06-27 02:40:00,60202.12890625,60230.9609375,60180.671875,60180.671875,100,15.0
2026-06-27 02:45:00,60200.0,60250.328125,60172.0390625,60175.62890625,100,15.0
2026-06-27 02:50:00,60175.66015625,60266.0,60172.94921875,60257.2109375,100,15.0
2026-06-27 02:55:00,60245.2890625,60254.4296875,60185.171875,60190.19921875,100,15.0
2026-06-27 03:00:00,60173.37890625,60309.58984375,60156.55078125,60174.1015625,100,15.0
2026-06-27 03:05:00,60170.01171875,60174.890625,60090.8984375,60113.4609375,100,15.0
2026-06-27 03:10:00,60107.58984375,60133.98828125,60063.87109375,60073.5703125,100,15.0
2026-06-27 03:15:00,60076.2890625,60168.9609375,60070.05078125,60168.9609375,100,15.0
2026-06-27 03:20:00,60171.98046875,60256.0,60150.4296875,60220.69140625,100,15.0
2026-06-27 03:25:00,60220.69921875,60223.96875,60196.328125,60218.0,100,15.0
2026-06-27 03:30:00,60217.890625,60248.0,60184.0,60248.0,100,15.0
2026-06-27 03:35:00,60241.890625,60296.53125,60221.01171875,60221.01171875,100,15.0
2026-06-27 03:40:00,60217.73828125,60230.05859375,60202.3984375,60202.3984375,100,15.0
2026-06-27 03:45:00,60203.98828125,60261.96875,60203.98828125,60247.26953125,100,15.0
2026-06-27 03:50:00,60247.28125,60247.28125,60166.0390625,60166.0390625,100,15.0
2026-06-27 03:55:00,60166.03125,60227.98828125,60166.03125,60205.5,100,15.0
2026-06-27 04:00:00,60209.76953125,60263.8203125,60209.76953125,60255.98828125,100,15.0
2026-06-27 04:05:00,60257.69921875,60360.0,60257.69921875,60307.0390625,100,15.0
2026-06-27 04:10:00,60310.0,60352.37890625,60278.94140625,60315.66015625,100,15.0
2026-06-27 04:15:00,60306.48046875,60346.25,60285.05859375,60331.640625,100,15.0
2026-06-27 04:20:00,60321.78125,60361.4609375,60302.0,60361.4609375,100,15.0
2026-06-27 04:25:00,60352.359375,60386.1015625,60288.12890625,60303.421875,100,15.0
2026-06-27 04:30:00,60300.359375,60351.55078125,60291.19140625,60337.94140625,100,15.0
2026-06-27 04:35:00,60337.94140625,60337.94140625,60266.69921875,60279.171875,100,15.0
2026-06-27 04:40:00,60279.16015625,60297.9296875,60277.98046875,60279.3984375,100,15.0
2026-06-27 04:45:00,60279.390625,60283.53125,60225.98828125,60225.98828125,100,15.0
2026-06-27 04:50:00,60227.51953125,60228.2890625,60190.75,60193.25,100,15.0
2026-06-27 04:55:00,60188.609375,60188.609375,60120.390625,60149.98046875,100,15.0
2026-06-27 05:00:00,60145.8515625,60171.98828125,60107.578125,60116.76171875,100,15.0
2026-06-27 05:05:00,60110.2109375,60188.0,60110.2109375,60180.01953125,100,15.0
2026-06-27 05:10:00,60178.21875,60217.890625,60174.8984375,60213.109375,100,15.0
2026-06-27 05:15:00,60213.109375,60213.109375,60131.98828125,60172.921875,100,15.0
2026-06-27 05:20:00,60172.921875,60184.859375,60157.87890625,60172.25,100,15.0
2026-06-27 05:25:00,60172.26171875,60185.41015625,60064.73828125,60066.140625,100,15.0
2026-06-27 05:30:00,60069.4609375,60127.37890625,60039.96875,60125.78125,100,15.0
2026-06-27 05:35:00,60125.828125,60138.30078125,60104.2109375,60133.9609375,100,15.0
2026-06-27 05:40:00,60133.94921875,60135.96875,60116.76171875,60135.421875,100,15.0
2026-06-27 05:45:00,60135.421875,60184.0703125,60129.0,60151.62109375,100,15.0
2026-06-27 05:50:00,60161.05078125,60185.19921875,60154.0,60156.5390625,100,15.0
2026-06-27 05:55:00,60156.5390625,60171.828125,60143.98828125,60143.98828125,100,15.0
2026-06-27 06:00:00,60143.98828125,60147.01953125,60067.80859375,60089.41015625,100,15.0
2026-06-27 06:05:00,60089.41015625,60110.078125,60076.98046875,60076.98828125,100,15.0
2026-06-27 06:10:00,60076.98828125,60076.98828125,60021.8984375,60057.76953125,100,15.0
2026-06-27 06:15:00,60057.78125,60088.0,60030.48046875,60087.98828125,100,15.0
2026-06-27 06:20:00,60089.98828125,60120.76953125,60084.01953125,60120.76171875,100,15.0
2026-06-27 06:25:00,60120.76171875,60139.37890625,60101.4609375,60103.98828125,100,15.0
2026-06-27 06:30:00,60103.98828125,60266.69140625,60103.98828125,60214.0,100,15.0
2026-06-27 06:35:00,60213.98046875,60303.0703125,60190.19921875,60293.0390625,100,15.0
2026-06-27 06:40:00,60299.76953125,60341.890625,60296.16015625,60315.03125,100,15.0
2026-06-27 06:45:00,60315.03125,60409.8984375,60315.03125,60360.0,100,15.0
2026-06-27 06:50:00,60353.9609375,60353.9609375,60255.75,60262.19140625,100,15.0
2026-06-27 06:55:00,60262.19140625,60275.859375,60262.19140625,60274.12890625,100,15.0
2026-06-27 07:00:00,60285.05078125,60297.30078125,60237.19140625,60249.98828125,100,15.0
2026-06-27 07:05:00,60249.98828125,60251.91015625,60219.87109375,60219.87109375,100,15.0
2026-06-27 07:10:00,60217.73828125,60224.921875,60201.01171875,60224.91015625,100,15.0
2026-06-27 07:15:00,60224.91015625,60261.01953125,60217.73828125,60233.73046875,100,15.0
