Trade ID,Symbol,Pattern,Direction,Entry Time,Entry Price,Exit Time,Exit Price,Exit Reason,Lot Size,Gross PnL ($),Spread Cost ($),Comm Cost ($),Net PnL ($),R
XAUUSD_V3_962,XAUUSD,Cypher,LONG,2025-12-19 13:30:00,4327.2,2025-12-19 14:00:00,4327.2,TP1_BE,0.67,66.45,16.75,3.35,46.35,0.07
XAUUSD_V3_963,XAUUSD,Cypher,LONG,2025-12-19 14:00:00,4327.19,2025-12-19 15:45:00,4327.19,TP1_BE,0.67,66.78,16.75,3.35,46.68,0.07
XAUUSD_V3_964,XAUUSD,Cypher,LONG,2025-12-26 14:45:00,4512.69,2025-12-26 16:45:00,4512.69,TP1_BE,0.36,54.9,9.0,1.8,44.1,0.06
XAUUSD_V3_965,XAUUSD,Cypher,LONG,2025-12-26 15:15:00,4514.6,2025-12-26 16:45:00,4514.6,TP1_BE,0.33,18.81,8.25,1.65,8.91,0.01
XAUUSD_V3_966,XAUUSD,Cypher,LONG,2025-12-30 19:00:00,4377.69,2025-12-30 19:15:00,4377.69,TP1_BE,0.18,2.55,4.5,0.9,-2.85,-0.0
XAUUSD_V3_967,XAUUSD,Cypher,LONG,2025-12-30 19:30:00,4374.8,2025-12-30 20:15:00,4374.8,TP1_BE,0.19,30.15,4.75,0.95,24.45,0.03
XAUUSD_V3_968,XAUUSD,Cypher,LONG,2025-12-30 17:45:00,4362.52,2025-12-30 20:30:00,4362.52,TP1_BE,0.3,235.87,7.5,1.5,226.87,0.32
XAUUSD_V3_969,XAUUSD,Cypher,LONG,2026-01-06 16:45:00,4479.44,2026-01-06 17:00:00,4479.44,TP1_BE,0.2,119.34,5.0,1.0,113.34,0.16
XAUUSD_V3_970,XAUUSD,Cypher,LONG,2026-01-06 17:15:00,4480.19,2026-01-06 17:30:00,4480.19,TP1_BE,0.19,120.5,4.75,0.95,114.8,0.16
XAUUSD_V3_971,XAUUSD,Cypher,LONG,2026-01-06 18:00:00,4478.28,2026-01-06 18:15:00,4478.28,TP1_BE,0.2,107.74,5.0,1.0,101.74,0.14
XAUUSD_V3_972,XAUUSD,Gartley,LONG,2026-01-27 14:45:00,5089.01,2026-01-27 15:00:00,5089.01,TP1_BE,0.18,13.63,4.5,0.9,8.23,0.01
XAUUSD_V3_973,XAUUSD,Gartley,LONG,2026-01-27 15:15:00,5090.09,2026-01-27 15:30:00,5090.09,TP1_BE,0.18,23.35,4.5,0.9,17.95,0.02
XAUUSD_V3_974,XAUUSD,Gartley,LONG,2026-01-27 16:00:00,5077.34,2026-01-27 16:15:00,5049.458705,SL,0.26,-724.91,6.5,1.3,-735.31,-1.02
XAUUSD_V3_975,XAUUSD,Cypher,SHORT,2026-03-10 18:15:00,51.85,2026-03-16 16:45:00,47.88,TIMEOUT,2.89,1147.33,72.25,14.45,1060.63,1.5
XAUUSD_V3_976,XAUUSD,Cypher,SHORT,2026-03-10 18:45:00,52.03,2026-03-16 16:45:00,47.88,TIMEOUT,3.12,1294.8,78.0,15.6,1201.2,1.65
XAUUSD_V3_977,XAUUSD,Cypher,SHORT,2026-06-11 18:00:00,40.8,2026-06-11 18:15:00,40.8,TP1_BE,5.5,89.85,137.5,27.5,-75.15,-0.1
XAUUSD_V3_978,XAUUSD,Cypher,SHORT,2026-06-11 18:45:00,40.98,2026-06-11 19:00:00,40.98,TP1_BE,6.33,46.44,158.25,31.65,-143.46,-0.19
XAUUSD_V3_979,XAUUSD,Cypher,SHORT,2026-07-20 17:30:00,37.85,2026-07-20 17:45:00,37.47178,TP1_TP2,6.12,260.65,153.0,30.6,77.05,0.1
XAUUSD_V3_980,XAUUSD,Cypher,SHORT,2026-07-20 18:00:00,37.27,2026-07-20 18:15:00,37.27,TP1_BE,4.16,219.14,104.0,20.8,94.34,0.13
XAUUSD_V3_981,XAUUSD,Cypher,SHORT,2026-07-20 18:45:00,37.43,2026-07-20 19:00:00,37.47178,TP1_TP2,4.57,213.73,114.25,22.85,76.63,0.1
XAUUSD_V3_982,XAUUSD,Cypher,SHORT,2026-07-29 17:30:00,39.85,2026-07-29 18:00:00,39.85,TP1_BE,4.21,83.98,105.25,21.05,-42.32,-0.06
XAUUSD_V3_983,XAUUSD,Cypher,SHORT,2026-07-29 18:00:00,39.63,2026-07-29 18:15:00,39.63,TP1_BE,3.75,116.05,93.75,18.75,3.55,0.0
XAUUSD_V3_984,XAUUSD,Cypher,SHORT,2026-07-29 18:45:00,39.57,2026-07-29 19:00:00,39.57,TP1_BE,3.64,123.57,91.0,18.2,14.37,0.02
