Symbol,Category,Trades,Win Rate %,Profit Factor,Gross Alpha ($),Friction Cost ($),Net Profit ($),Net Return %,Max DD %,Avg R
XAUUSD,Precious Metals,10,70.0%,9.68,$+641.30,-$376.20,$+641.31,+6.41%,0.6%,0.32R
XAGUSD,Precious Metals,56,87.5%,1.88,"$+1,220.03",-$247.50,"$+1,220.03",+12.20%,5.9%,0.11R
USDJPY,Forex Major,28,71.4%,3.57,"$+1,787.95",-$504.05,"$+1,787.95",+17.88%,4.3%,0.30R
GBPUSD,Forex Major,1,100.0%,999.00,$+100.82,-$12.07,$+100.82,+1.01%,0.0%,0.50R
USDCAD,Forex Major,2,100.0%,999.00,$+78.77,-$44.65,$+78.77,+0.79%,0.0%,0.20R
USDCHF,Forex Major,2,100.0%,999.00,$+162.48,-$28.40,$+162.48,+1.62%,0.0%,0.41R
AUDUSD,Forex Major,4,100.0%,999.00,$+159.19,-$54.91,$+159.19,+1.59%,0.0%,0.20R
EURUSD,Forex Major,1,100.0%,999.00,$+77.34,-$40.80,$+77.34,+0.77%,0.0%,0.39R
NZDUSD,Forex Major,1,100.0%,999.00,$+15.45,-$8.80,$+15.45,+0.15%,0.0%,0.08R
